rank,sqft,name,location,builtfor,owner,completed,arch,architect,image
59,45000,Darlington,"Mahwah, New Jersey",George Crocker,Jaime Garrido,1907,Jacobean,James Brite,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/CROCKER-McMILLIN_MANSION_-_IMMACULATE_CONCEPTION_SEMINARY%2C_MAHWAH%2C_BERGEN_COUNTY.jpg/150px-CROCKER-McMILLIN_MANSION_-_IMMACULATE_CONCEPTION_SEMINARY%2C_MAHWAH%2C_BERGEN_COUNTY.jpg
59,45000,Henry Clay Frick House,"New York, New York",Henry Clay Frick,Frick Collection,1914,Beaux-Arts,Carr√®re and Hastings,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Henry_C_Frick_House_009.JPG/150px-Henry_C_Frick_House_009.JPG
60,44936,Anderson House,"Washington, D.C.",Larz Anderson,Society of the Cincinnati,1905,Beaux-Arts,Arthur Little  Herbert Browne,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Larz_Anderson_House_-_Washington%2C_D.C..jpg/150px-Larz_Anderson_House_-_Washington%2C_D.C..jpg
61,44925,Le Palais,"Beverly Hills, California",Mohamed Hadid,Lola Karimova-Tillyaeva[citation needed],2011,Châteauesque,,
62,44309,Glencairn,"Bryn Athyn, Pennsylvania",Raymond Pitcairn,The New Church,1938,Romanesque,Raymond Pitcairn,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Glencairn_Museum.jpg/150px-Glencairn_Museum.jpg
63,44234,Villa Vittoriosa,"Fayetteville, Georgia",Evander Holyfield,Rick Ross[citation needed],1994,Neoclassical,Portman Fuchtman Vinson Sunderland,
64,44229,Ochre Court,"Newport, Rhode Island",Ogden Goelet,Salve Regina University,1892,Châteauesque,Richard Morris Hunt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Salve-gates.jpg/150px-Salve-gates.jpg
65,44000,Hyde Park,"Hyde Park, New York",Frederick Vanderbilt,National Park Service,1899,Beaux-Arts,Charles Follen McKim,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Vanderbilt_Mansion_-_IMG_7939.JPG/150px-Vanderbilt_Mansion_-_IMG_7939.JPG
66,43793,Boldt Castle,"Alexandria Bay, New York",George Boldt,Thousand Islands Bridge Authority,1904,Chateauesque,G.W. & W.D. Hewitt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Ch%C3%A2teau_de_Boldt.jpg/150px-Ch%C3%A2teau_de_Boldt.jpg
67,43561,Marland Mansion,"Ponca City, Oklahoma",Ernest Whitworth Marland,City of Ponca City,1928,Mediterranean Revival,John Duncan Forsyth,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Marland_Mansion_Entrance_Front.jpg/150px-Marland_Mansion_Entrance_Front.jpg
68,43557,901 Trophy Hills Drive,"Las Vegas, Nevada",Sheldon Adelson,Sheldon Adelson,2013,,,
69,43515,Asherwood,"Carmel, Indiana",Melvin Simon,Great American Songbook Foundation,1999,Chateauesque,,
70,43040,Primatara,"Springfield, Missouri",Robert Low,Robert Low,,,Richard Drummond Davis,
71,42831,Ch√¢teau des Fleurs,"Los Angeles, California",James A. Kaplan,James A. Kaplan,2014,Chateauesque,William Hefner,
72,42014,51 Winding Brook Drive,"Saratoga Springs, New York",John Breyo,John Breyo,2006,Mediterranean Revival,Robert Flansburg,
73,42000,Payne Mansion,"Esopus, New York",Oliver Hazard Payne,Marist College,1911,Beaux-Arts,Carr√®re and Hastings,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Col._Oliver_Hazard_Payne_Estate.jpg/150px-Col._Oliver_Hazard_Payne_Estate.jpg
73,42000,Rose Terrace,"Grosse Pointe Farms, Michigan",Anna Thompson Dodge,(demolished in 1976),1931,Neoclassical,Horace Trumbauer,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Rose_Terrace_facade_c_1971.jpg/150px-Rose_Terrace_facade_c_1971.jpg
74,41774,Le Palais Royal,"Hillsboro Beach, Florida",Robert Pereira,Robert Pereira,2014,Beaux-Arts,Denio Madera,
75,40050,Carolands,"Hillsborough, California",Harriet Pullman Carolan,Charles Bartlett Johnson,1914,Second Empire,Ernest Sanson Willis Polk,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Carolands_Chateau-_South_Facade_with_Porte-coch%C3%A8re_gates_Feb.13_.jpg/150px-Carolands_Chateau-_South_Facade_with_Porte-coch%C3%A8re_gates_Feb.13_.jpg
76,41000,Hayes Mansion,"San Jose, California",Mary Hayes Chynoweth,City of San Jose,1905,Mediterranean Revival,George Page,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Hayes_Mansion%2C_200_Edenvale_Ave.%2C_San_Jose%2C_CA_9-23-2012_6-49-36_PM.JPG/150px-Hayes_Mansion%2C_200_Edenvale_Ave.%2C_San_Jose%2C_CA_9-23-2012_6-49-36_PM.JPG
76,41000,NYIT de Seversky Mansion,"Old Westbury, New York",Alfred I. du Pont,New York Institute of Technology,1918,Georgian Revival,Carr√®re and Hastings,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/DeSeversky.jpg/150px-DeSeversky.jpg
77,40916,Il Palmetto,"Palm Beach, Florida",Joseph E. Widener,James H. Clark,1927,Mediterranean Revival,Maurice Fatio,
78,40280,Walker McCune Mansion,"Paradise Valley, Arizona",Walker McCune,George A. Hormel family,1962,Contemporary,,
79,40000,Mills Mansion,"Hyde Park, New York",Ogden Mills,"New York State Office of Parks, Recreation and Historic Preservation",1896,Beaux-Arts,Stanford White,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Staatsburgh_state_historic_site_dutchess_2007_02_15.jpg/150px-Staatsburgh_state_historic_site_dutchess_2007_02_15.jpg
79,40000,The Braes,"Glen Cove, New York",Herbert L. Pratt,Webb Institute,1912,Jacobean,James Brite,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Webb_bw.jpg/150px-Webb_bw.jpg
79,40000,Coe Hall,"Upper Brookville, New York",William Robertson Coe,Planting Fields Foundation,1921,Tudor Revival,Guy Lowell,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Coe_Hall_-_PFA%3B_January_2006.jpg/150px-Coe_Hall_-_PFA%3B_January_2006.jpg
79,40000,Rynwood,"Old Brookville, New York",Samuel Agar Salvage,John Mariani Jr,1927,Tudor Revival,Roger Bullard,
79,40000,10697 Somma Way,"Los Angeles, California",Ty Cueva,Ty Cueva,2017,Spanish Colonial Revival,,
80,39648,Seaview Terrace,"Newport, Rhode Island",Edson Bradley,Martin Carey,1925,Chateauesque,Howard Greenley,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/CareyMansion_crop.jpg/150px-CareyMansion_crop.jpg
81,39400,137 Beech Ridge Dr ‚ÄôVilla Noci‚Äô,"Bell Acres, Pennsylvania",Joseph Nocito Sr.,,2010,Chateauesque,,
82,38000,5501 W Hamilton Road S ‚ÄòPizza Hut Mansion‚Äô,"Fort Wayne, Indiana",Dick Freeland,Dick Freeland,1997,Chateauesque,,
